MODCREATOR_BASIC_COMPCONF	组件配置
MODCREATOR_BASIC_CLOTHSLOT_SHIRT	衬衫
MODCREATOR_BASIC_CLOTHSLOT_COAT	外套
MODCREATOR_BASIC_CLOTHSLOT_ONEPIECE	连体装
MODCREATOR_BASIC_CLOTHSLOT_SKIRT	裙子
MODCREATOR_BASIC_CLOTHSLOT_PANTS	裤子
MODCREATOR_BASIC_CLOTHSLOT_SHOES	鞋子

MODCREATOR_BASIC_STUDIOSLOT_BASICSHAPES	基础形状
MODCREATOR_BASIC_STUDIOSLOT_LIGHTS	灯光 
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS2D	2D效果
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS3D	3D效果
MODCREATOR_BASIC_STUDIOSLOT_SMALLOBJECTS	小物品
MODCREATOR_BASIC_STUDIOSLOT_LARGEOBJECTS	大物品
MODCREATOR_BASIC_STUDIOSLOT_MISCOBJECTS	其他物品
MODCREATOR_BASIC_STUDIOSLOT_HRELATED	H相关物品
MODCREATOR_BASIC_STUDIOSLOT_FOODRELATED	食物相关物品
MODCREATOR_BASIC_STUDIOSLOT_CHARARELATED	角色相关物品
MODCREATOR_BASIC_STUDIOSLOT_FURNITURE	家具
MODCREATOR_BASIC_STUDIOSLOT_BUILDINGS	建筑
MODCREATOR_BASIC_STUDIOSLOT_GIMMICKS	好玩的物品

MODCREATOR_BASIC_HAIRSLOT_FRONTHAIR	前发
MODCREATOR_BASIC_HAIRSLOT_SIDEHAIR	测发
MODCREATOR_BASIC_HAIRSLOT_BACKHAIR	后发
MODCREATOR_BASIC_HAIRSLOT_EXTENSION	扩展

MODCREATOR_BASIC_TEXTYPE_FACESKIN	面部皮肤
MODCREATOR_BASIC_TEXTYPE_BODYSKIN	身体皮肤

MODCREATOR_BASIC_TYPE_CLOTHING	服装
MODCREATOR_BASIC_TYPE_ACCESSORY	配件
MODCREATOR_BASIC_TYPE_HAIR	发型
MODCREATOR_BASIC_TYPE_TEXTURE	纹理

MODCREATOR_BUILDER_COMPTYPE_NULLVALUE	默认
MODCREATOR_BUILDER_COMPTYPE_NONE	解压
MODCREATOR_BUILDER_COMPTYPE_ZSTANDARD	Zstandard
MODCREATOR_BASIC_GENDERS	支持的性别
MODCREATOR_BASIC_CLOTHSLOT_BOXERS	平角裤
MODCREATOR_BASIC_HAIRSLOT_HAIRSET	全发
MODCREATOR_BASIC_TEXTYPE_NIPPLES	乳头
MODCREATOR_BASIC_TEXTYPE_FACEOVERLAY	面部叠加
MODCREATOR_BASIC_TEXTYPE_BODYOVERLAY	身体叠加
MODCREATOR_BASIC_CLOTHSIM_TITLE	物理模拟
MODCREATOR_BASIC_CLOTHSIM_PRESET	预设
MODCREATOR_BASIC_CLOTHSIM_PRESET_NONE	默认
MODCREATOR_BASIC_CLOTHSIM_PRESET_TAILBONESPRING	尾巴（骨弹簧）
MODCREATOR_BASIC_CLOTHSIM_PRESET_SKIRT	裙子
MODCREATOR_BASIC_CLOTHSIM_PRESET_BREASTS	胸部
MODCREATOR_BASIC_CLOTHSIM_PRESET_CAPE	披风
MODCREATOR_BASIC_CLOTHSIM_PRESET_NECKTIE	领带
MODCREATOR_BASIC_CLOTHSIM_PRESET_HAIRSTRAINS	头发（条）
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE	骨骼对齐模式
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_NONE	无
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_ATTACHONLY	仅附着
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_FULL	完整
MODCREATOR_BASIC_CLOTHSIM_ARMATUREROOT	骨架根部
MODCREATOR_BASIC_CLOTHSIM_ENABLED	已启用
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE	模拟类型
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONESPRING	骨骼弹簧
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONECLOTH	骨骼布料
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_MESHCLOTH	网格布料
MODCREATOR_BASIC_CLOTHSIM_USEBACKSTOP	使用反向阻挡
MODCREATOR_BASIC_CLOTHSIM_CUSTOMSKINNING	自定义蒙皮
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE	连接模式
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_LINE	线性
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_AUTOMATICMESH	自动网格
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALLOOPMESH	顺序循环网格
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALNONLOOPMESH	顺序非循环网格
MODCREATOR_BASIC_CLOTHSIM_REDUCTION	减少
MODCREATOR_BASIC_CLOTHSIM_SKINNINGBONES	蒙皮骨骼
MODCREATOR_BASIC_CLOTHSIM_ROOTBONES	根骨骼
MODCREATOR_BASIC_CLOTHSIM_PAINTMAP	绘制贴图
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_NONE	无
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_NONE	无
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE	碰撞模式
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_NONE	无
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_POINT	点
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_EDGE	边缘
MODCREATOR_BASIC_CLOTHSIM_RADIUS	半径
MODCREATOR_BASIC_CLOTHSIM_FRICTION	摩擦
MODCREATOR_BASIC_OVERLAYCOLOR	覆盖颜色
MODCREATOR_BASIC_TEXTYPE_LIPS	唇
MODCREATOR_BASIC_CLOTHSIM_NAME	名称
MODCREATOR_BASIC_CLOTHSIM_GENERAL	通用
MODCREATOR_BASIC_CLOTHSIM_ANIMPOSERATIO	 动画姿势比例
MODCREATOR_BASIC_CLOTHSIM_COLLISION	碰撞
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUS	最大距离半径
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPNORMALALIGN	反向阻挡法线对齐
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDIST	反向阻挡距离
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPRADIUS	反向阻挡半径
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFNESS	反向阻挡硬度
MODCREATOR_BASIC_CLOTHSIM_FORCE	力
MODCREATOR_BASIC_CLOTHSIM_GRAVITY	重力
MODCREATOR_BASIC_CLOTHSIM_DAMPING	阻尼
MODCREATOR_BASIC_CLOTHSIM_ANGLE	角度
MODCREATOR_BASIC_CLOTHSIM_STIFFNESS	硬度
MODCREATOR_BASIC_CLOTHSIM_VELATTEN	速度衰减
MODCREATOR_BASIC_CLOTHSIM_SHAPE	形状
MODCREATOR_BASIC_CLOTHSIM_RIGIDNESS	硬性
MODCREATOR_BASIC_CLOTHSIM_TETHER	绑定
MODCREATOR_BASIC_CLOTHSIM_INERTIA	惯性
MODCREATOR_BASIC_CLOTHSIM_WORLDINERT	全局惯性
MODCREATOR_BASIC_CLOTHSIM_LOCALINERT	局部惯性
MODCREATOR_BASIC_CLOTHSIM_SIMULATION	模拟
MODCREATOR_BASIC_CLOTHSIM_ADVCOLLISION	高级碰撞
MODCREATOR_BASIC_CLOTHSIM_RADIUSCURVE	半径曲线
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUSCURVE	最大距离半径曲线
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDISTCURVE	反向阻挡距离曲线
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFCURVE	反向阻挡硬度曲线
MODCREATOR_BASIC_CLOTHSIM_DAMPINGCURVE	阻尼曲线
MODCREATOR_BASIC_CLOTHSIM_STIFFNESSCURVE	硬度曲线
MODCREATOR_BASIC_CLOTHSIM_RIGIDCURVE	硬性曲线
MODCREATOR_BASIC_CLOTHSIM_ANGLIMIT	角度限制
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITCURVE	角度限制曲线
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITSTIFFNESS	角度限制硬度
MODCREATOR_BASIC_CLOTHSIM_SPRINGSTR	弹簧强度
MODCREATOR_BASIC_CLOTHSIM_SPRINGDIST	弹簧距离
MODCREATOR_BASIC_CLOTHSIM_SPRINGNORMALDISTRATIO	弹簧法向距离比例
MODCREATOR_BASIC_CLOTHSIM_SPRINGNOISE	弹簧噪声
MODCREATOR_BASIC_FK_TITLE	FK
MODCREATOR_BASIC_FK_GENERAL	通用
MODCREATOR_BASIC_FK_GROUPNAME	组名称
MODCREATOR_BASIC_FK_CHARASETTINGS	角色设置
MODCREATOR_BASIC_FK_FUTAEXCLUSIVE	扶他专用
MODCREATOR_BASIC_FK_TRANSFORMNAME	变换名称
MODCREATOR_BASIC_FK_TRANSFORM	变换
MODCREATOR_BASIC_FK_READRESTINGANG	读取静止角度
MODCREATOR_BASIC_FK_RESTINGANGLE	静止角度
MODCREATOR_BASIC_FK_MOVABLETARGSCA	可移动目标比例
MODCREATOR_BASIC_FK_MIRRORING	镜像
MODCREATOR_BASIC_FK_MIRRORTRANSFORM	镜像变换
MODCREATOR_BASIC_FK_MIRRORX	镜像X轴
MODCREATOR_BASIC_FK_MIRRORY	镜像Y轴
MODCREATOR_BASIC_FK_MIRRORZ	镜像Z轴
MODCREATOR_BASIC_TEXTYPE_OUTERIRIS	外虹膜
MODCREATOR_BASIC_TEXTYPE_INNERIRIS	内虹膜
MODCREATOR_BASIC_TEXTYPE_PUPIL	瞳孔
MODCREATOR_BASIC_TEXTYPE_HIGHLIGHT	高亮
MODCREATOR_BASIC_TEXTYPE_BLUSH	腮红
MODCREATOR_BASIC_CLOTHSLOT_GLOVES	Gloves
MODCREATOR_BASIC_BLENDOFF_TITLE	Blendshape Offsets
MODCREATOR_BASIC_CLIPPINGFIX	Clipping Fix
MODCREATOR_BASIC_USECLIPPINGFIX	Use Clipping Fix
MODCREATOR_BASIC_CLIPPINGDISTANCE	Distance
MODCREATOR_BASIC_HIDEPREVIEWRENDERERS	Hide Preview Renderers
MODCREATOR_BASIC_RAYSRESOLUTION	Preview Resolution
MODCREATOR_BASIC_RAYSRESOLUTION_LOW	Low
MODCREATOR_BASIC_RAYSRESOLUTION_MEDIUM	Medium
MODCREATOR_BASIC_RAYSRESOLUTION_HIGH	High
MODCREATOR_BASIC_RAYSRESOLUTION_VERYHIGH	Very High
MODCREATOR_BASIC_PREVIEW_STATE_FULL	Preview Full State
MODCREATOR_BASIC_PREVIEW_STATE_HALF	Preview Half State
MODCREATOR_BASIC_PREVIEW_STOP	Stop Preview
MODCREATOR_BASIC_FADEDURATION	Fade Duration
MODCREATOR_BASIC_CONTAINERS	Containers
MODCREATOR_BASIC_CONTAINERTYPE	Container Type
MODCREATOR_BASIC_CONTAINERTYPE_SINGLE	Single
MODCREATOR_BASIC_CONTAINERTYPE_LINEAR	Linear
MODCREATOR_BASIC_CONTAINERTYPE_TWODIMENSIONAL	2D
MODCREATOR_BASIC_CLIPS	Clips
MODCREATOR_BASIC_THRESHOLDS	Thresholds
MODCREATOR_BASIC_POSITIONS	Positions
MODCREATOR_BASIC_PARAMNAME	Param Name
MODCREATOR_BASIC_PARAMINITVALUE	Param Initial Value
MODCREATOR_BASIC_PARAMXNAME	Param X Name
MODCREATOR_BASIC_PARAMYNAME	Param Y Name
MODCREATOR_BASIC_TYPE_BASEMESH	Base Mesh
MODCREATOR_BASIC_COMPATIBLEBASEMESHES	Compatible Base Meshes
MODCREATOR_BASIC_AVATAR	Avatar
MODCREATOR_BASIC_FACE	Face
MODCREATOR_BASIC_BODY	Body
MODCREATOR_BASIC_RENDERER	Renderer
MODCREATOR_BASIC_SUBMESH	Submesh
MODCREATOR_BASIC_EYEDATA_BLINKSHAPE_LEFT	Blink (Left) Blendshape
MODCREATOR_BASIC_EYEDATA_BLINKSHAPE_RIGHT	Blink (Right) Blendshape
MODCREATOR_BASIC_MOUTHDATA_OPENSHAPE	Open Mouth Blendshape
MODCREATOR_BASIC_POVTR	POV Transform
MODCREATOR_BASIC_FACETR	Face Transform
MODCREATOR_BASIC_COCKBONE	Cock
MODCREATOR_BASIC_BODYROOTBONE	Armature
MODCREATOR_BASIC_HEADROOTBONE	Head
MODCREATOR_BASIC_PRIVATESROOTBONE	Privates Root Bone
MODCREATOR_BASIC_EYES	Eyes
MODCREATOR_BASIC_BREASTS	Breasts
MODCREATOR_BASIC_BUTTOCKS	Buttocks
MODCREATOR_BASIC_SFWCOLLIDERS	SFW Colliders
MODCREATOR_BASIC_SHAPERENDERERS	Blendshape Renderers
MODCREATOR_BASIC_AUTOFILL	Autofill Entries
MODCREATOR_BASIC_AUTOFILLNEW	Autofill New Entries
MODCREATOR_BASIC_REMOVEINVALID	Remove Invalid Entries
MODCREATOR_BASIC_BODYPARTS	Body Parts
MODCREATOR_BASIC_ACCESSORYPARENTS	Accessory Parents
MODCREATOR_BASIC_BLENDSHAPES	Blendshapes
MODCREATOR_BASIC_DEFAULTRANGES	Set Default Ranges
MODCREATOR_BASIC_SHOWFUTA	Show when Futanari enabled
MODCREATOR_BASIC_FACE_SHAPECAT	Face Category
MODCREATOR_BASIC_BODY_SHAPECAT	Body Category
MODCREATOR_BASIC_SFWRANGE	SFW Range
MODCREATOR_BASIC_NSFWRANGE	NSFW Range
MODCREATOR_BASIC_BLENDSHAPEPRESETS	Blendshape Presets
MODCREATOR_BASIC_BODYPARTS_HEAD	Head
MODCREATOR_BASIC_BODYPARTS_NECK	Neck
MODCREATOR_BASIC_BODYPARTS_LEFTSHOULDER	Left Shoulder
MODCREATOR_BASIC_BODYPARTS_RIGHTSHOULDER	Right Shoulder
MODCREATOR_BASIC_BODYPARTS_LEFTARM	Left arm
MODCREATOR_BASIC_BODYPARTS_RIGHTARM	Right Arm
MODCREATOR_BASIC_BODYPARTS_LEFTFOREARM	Left Forearm
MODCREATOR_BASIC_BODYPARTS_RIGHTFOREARM	Right Forearm
MODCREATOR_BASIC_BODYPARTS_LEFTHAND	Left Hand
MODCREATOR_BASIC_BODYPARTS_RIGHTHAND	Right Hand
MODCREATOR_BASIC_BODYPARTS_LEFTBREAST	Left Breast
MODCREATOR_BASIC_BODYPARTS_RIGHTBREAST	Right Breast
MODCREATOR_BASIC_BODYPARTS_CHEST	Chest
MODCREATOR_BASIC_BODYPARTS_STOMACH	Stomach
MODCREATOR_BASIC_BODYPARTS_HIPS	Hips
MODCREATOR_BASIC_BODYPARTS_CROTCH	Crotch
MODCREATOR_BASIC_BODYPARTS_LEFTBUTTOCK	Left Buttock
MODCREATOR_BASIC_BODYPARTS_RIGHTBUTTOCK	Right Buttock
MODCREATOR_BASIC_BODYPARTS_LEFTTHIGH	Left Thigh
MODCREATOR_BASIC_BODYPARTS_RIGHTTHIGH	Right Thigh
MODCREATOR_BASIC_BODYPARTS_LEFTSHIN	Left Shin
MODCREATOR_BASIC_BODYPARTS_RIGHTSHIN	Right Shin
MODCREATOR_BASIC_BODYPARTS_LEFTFOOT	Left Foot
MODCREATOR_BASIC_BODYPARTS_RIGHTFOOT	Right Foot
MODCREATOR_BASIC_FACE_SHAPECAT_NONE	None
MODCREATOR_BASIC_FACE_SHAPECAT_FACE	Face
MODCREATOR_BASIC_FACE_SHAPECAT_CHEEKS	Cheeks
MODCREATOR_BASIC_FACE_SHAPECAT_EARS	Ears
MODCREATOR_BASIC_FACE_SHAPECAT_JAW	Jaw
MODCREATOR_BASIC_FACE_SHAPECAT_CHIN	Chin
MODCREATOR_BASIC_FACE_SHAPECAT_EYES	Eyes
MODCREATOR_BASIC_FACE_SHAPECAT_NOSE	Nose
MODCREATOR_BASIC_FACE_SHAPECAT_MOUTH	Mouth
MODCREATOR_BASIC_FACE_SHAPECAT_EXPRESSION	Expression
MODCREATOR_BASIC_FACE_SHAPECAT_EYEBROWS	Eyebrows
MODCREATOR_BASIC_FACE_SHAPECAT_UPPEREYELIDS	Upper Eyelids
MODCREATOR_BASIC_FACE_SHAPECAT_LOWEREYELIDS	Lower Eyelids
MODCREATOR_BASIC_BODY_SHAPECAT_NONE	None
MODCREATOR_BASIC_BODY_SHAPECAT_CHEST	Chest
MODCREATOR_BASIC_BODY_SHAPECAT_NECK	Neck
MODCREATOR_BASIC_BODY_SHAPECAT_TORSO	Torso
MODCREATOR_BASIC_BODY_SHAPECAT_WAIST	Waist
MODCREATOR_BASIC_BODY_SHAPECAT_HIPS	Hips
MODCREATOR_BASIC_BODY_SHAPECAT_ARMS	Arms
MODCREATOR_BASIC_BODY_SHAPECAT_LEGS	Legs
MODCREATOR_BASIC_BODY_SHAPECAT_PRIVATES	Privates
MODCREATOR_BASIC_MERGEDEYES	Merged Eyes
MODCREATOR_BASIC_INVERTMERGEDEYES	Invert Merged Eyes
MODCREATOR_BASIC_TEXTYPE_NOSE	Nose
MODCREATOR_BASIC_TEXTYPE_FACETAN	Face Tan
MODCREATOR_BASIC_TEXTYPE_BODYTAN	Body Tan
MODCREATOR_BASIC_TEXTYPE_FACETATTOO	Face Tattoo
MODCREATOR_BASIC_TEXTYPE_BODYTATTOO	Body Tattoo
MODCREATOR_BASIC_TEXTYPE_PUBICHAIR	Pubic Hair
