MODCREATOR_BASIC_COMPCONF	Configurazione Componenti
MODCREATOR_BASIC_HAIRSLOT_HAIRSET	Acconciatura
MODCREATOR_BASIC_HAIRSLOT_FRONTHAIR	Capelli davanti
MODCREATOR_BASIC_HAIRSLOT_SIDEHAIR	Capelli laterali
MODCREATOR_BASIC_HAIRSLOT_BACKHAIR	Capelli dietro
MODCREATOR_BASIC_HAIRSLOT_EXTENSION	Extensions
MODCREATOR_BASIC_TEXTYPE_FACESKIN	Texture volto
MODCREATOR_BASIC_TEXTYPE_BODYSKIN	Texture corpo
MODCREATOR_BASIC_TYPE_CLOTHING	Vestiario
MODCREATOR_BASIC_TYPE_ACCESSORY	Accessori
MODCREATOR_BASIC_TYPE_HAIR	Capelli
MODCREATOR_BASIC_TYPE_TEXTURE	Texture
MODCREATOR_BUILDER_COMPTYPE_NULLVALUE	Default
MODCREATOR_BUILDER_COMPTYPE_NONE	Non compresso
MODCREATOR_BUILDER_COMPTYPE_ZSTANDARD	Zstandard
MODCREATOR_BASIC_TEXTYPE_NIPPLES	Capezzoli
MODCREATOR_BASIC_TEXTYPE_FACEOVERLAY	Overlay sulla faccia
MODCREATOR_BASIC_TEXTYPE_BODYOVERLAY	Overlay sul corpo
MODCREATOR_BASIC_CLOTHSIM_TITLE	Simulazione dei vestiti
MODCREATOR_BASIC_CLOTHSIM_ENABLED	Abilitata
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE	Tipo di Simulazione
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONESPRING	Basata sulle molle (BoneSpring)
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONECLOTH	Basata sulle ossa (Bone Cloth)
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_MESHCLOTH	Basata sulla mesh (Mesh Cloth)
MODCREATOR_BASIC_CLOTHSIM_USEBACKSTOP	Prevenzione delle compenetrazioni (Backstop)
MODCREATOR_BASIC_CLOTHSIM_CUSTOMSKINNING	Skinning Custom
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE	Modalità di connesione
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_LINE	Linea
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_AUTOMATICMESH	Mesh automatica
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALLOOPMESH	Mesh in loop sequenziali
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALNONLOOPMESH	Mesh in loop non sequenziali
MODCREATOR_BASIC_CLOTHSIM_REDUCTION	Semplificazione
MODCREATOR_BASIC_CLOTHSIM_SKINNINGBONES	Ossa da skinnare
MODCREATOR_BASIC_CLOTHSIM_ROOTBONES	Ossa di partenza
MODCREATOR_BASIC_CLOTHSIM_PAINTMAP	Paint Map
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_NONE	Nessuno
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_NONE	Nessuno
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE	Collision Mode
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_POINT	Point
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_EDGE	Edge
MODCREATOR_BASIC_CLOTHSIM_RADIUS	Radius
MODCREATOR_BASIC_CLOTHSIM_FRICTION	Friction
MODCREATOR_BASIC_OVERLAYCOLOR	Overlay Color
MODCREATOR_BASIC_TEXTYPE_LIPS	Lips
